"platform","hospital","x","est","lo","hi"
"Versius","BE",65,189.232572125806,177.903841025945,201.604288928299
"Versius","BE",66,189.412454701046,178.147150113372,201.829761390352
"Versius","BE",67,189.591040438762,178.367354958625,201.971950969491
"Versius","BE",68,189.767940441911,178.473512396589,202.258035849827
"Versius","BE",69,189.942776408894,178.666483762106,202.48517020883
"Versius","BE",70,190.115182322503,178.868365721369,202.649845427714
"Versius","BE",71,190.284806079186,178.962391344323,202.804173813582
"Versius","BE",72,190.45131104816,179.077197914296,203.011341728014
"Versius","BE",73,190.614377550149,179.239497050702,203.238459806244
"Versius","BE",74,190.773704245802,179.300402566607,203.545189737781
"Versius","BE",75,190.929009424257,179.408607246567,203.829899284209
"Versius","BE",76,191.080032182783,179.525960022323,203.95005452199
"Versius","BE",77,191.22653348899,179.587329873705,204.096609482423
"Versius","BE",78,191.368297117759,179.818849224629,204.046288509854
"Versius","BE",79,191.505130455758,180.13034073249,204.213859113183
"Versius","BE",80,191.636865167181,180.232641005218,204.383240292744
"Versius","BE",81,191.763357715252,180.367672693639,204.662468110059
"Versius","BE",82,191.88448973492,180.438652516916,204.918345878628
"Versius","BE",83,192.000168253141,180.515861684299,205.135790027477
"Versius","BE",84,192.11032575418,180.615598004324,205.244157425308
"Versius","BE",85,192.214920088374,180.738523739643,205.423636176971
"Versius","BE",86,192.313934223901,180.883923837934,205.592733975062
"Versius","BE",87,192.407375842123,180.990477462701,205.685001019206
"Versius","BE",88,192.49527677822,180.831390170256,205.866757018639
"Versius","BE",89,192.577692309828,180.930782729448,205.979298878379
"Versius","BE",90,192.654700297507,180.919165144897,206.025103504919
"Versius","BE",91,192.72640018184,181.068850983649,205.975587411062
"Versius","BE",92,192.792911842985,181.155252658873,206.176194976451
"Versius","BE",93,192.854374329407,181.236375117106,205.949286332499
"Versius","BE",94,192.910944463416,181.276976433804,205.899868621392
"Versius","BE",95,192.962795331963,181.323607878654,205.828358946008
"Versius","BE",96,193.010114671865,181.327919963023,205.920724336904
"Versius","BE",97,193.053103159355,181.358161983057,206.108456351277
"Versius","BE",98,193.091972614393,181.438027988023,205.99888339297
"Versius","BE",99,193.126944130751,181.507743012347,205.984459544297
"Versius","BE",100,193.15824614326,181.436166277152,206.093313314594
"Versius","BE",101,193.186112444007,181.520813285021,206.052118573166
"Versius","BE",102,193.210780159493,181.409816853765,205.875208941389
"Versius","BE",103,193.232487700958,181.389315849751,205.674544614783
"Versius","BE",104,193.251472700186,181.413152976209,205.778009632359
"Versius","BE",105,193.267969943097,181.321367306269,205.944694541144
"Versius","BE",106,193.282209313378,181.247599026439,205.907370681415
"Versius","BE",107,193.294413758294,181.218919801002,205.886958487318
"Versius","BE",108,193.304797288568,181.191686955532,205.832838434515
"Versius","BE",109,193.313563024015,181.127093888778,206.036005547925
"Versius","BE",110,193.320901296217,181.109856370145,206.053241432013
"Versius","BE",111,193.326987819212,181.108359611143,206.139777185732
"Versius","BE",112,193.331981938678,181.130503149223,206.222789082833
"Versius","BE",113,193.336024969659,181.032113520857,206.283848209401
"Versius","BE",114,193.339238632337,181.02446907555,206.227036548231
"Versius","BE",115,193.341723594815,180.980934046652,206.074474093486
"Versius","BE",116,193.343558131271,181.050583134696,206.022837547802
"Versius","BE",117,193.344796903261,181.045284974885,206.091373686526
"Versius","BE",118,193.345469871274,181.177866496567,205.989351233136
"Versius","BE",119,193.345581343009,181.249626307754,205.975395782583
"Versius","BE",120,193.345109164155,181.298676549583,206.026645429072
"Versius","BE",121,193.344004056761,181.24746158074,206.010464206765
"Versius","BE",122,193.34218910956,181.243068768024,205.98990778693
"Versius","BE",123,193.339559423918,181.282463469121,205.98581511078
"Versius","BE",124,193.335981918296,181.305148897194,205.847838289248
"Versius","BE",125,193.331295293417,181.195759706691,205.830651263839
"Versius","BE",126,193.325310159514,181.336555160602,206.064578370765
"Versius","BE",127,193.317809326324,181.407767748022,205.970415338681
"Versius","BE",128,193.30854825566,181.435512555189,205.861314828418
"Versius","BE",129,193.297255675657,181.470894890003,205.982338570103
"Versius","BE",130,193.283634354953,181.411319193982,205.894578900658
"Versius","BE",131,193.267362034287,181.375125954047,205.964029715183
"Versius","BE",132,193.248092512197,181.347423428153,205.779405391539
"Versius","BE",133,193.225456880678,181.219092277681,205.724556536024
